date,open,close,high,low,volume,amount,amplitude,quote_change,ups_downs,turnover,rsv_9,kdjk_9,kdjk,kdjd_9,kdjd,kdjj_9,kdjj,macd,macds,macdh,lgl_macd60,lgl_first_max,lgl_first_min,lgl_first_downs_change,lgl_sec_max,lgl_sec_min,lgl_sec_downs_change
2023-02-09,10.04,10.14,10.19,9.91,264266,266692051.96,2.76,-0.1,-0.01,6.82,39.56834532374104,54.26810461256869,54.26810461256869,55.9312666043805,55.9312666043805,50.94178062894508,50.94178062894508,0.03127505831203692,-0.0015509558206011622,0.03282601413263808,0,0,0,0,0,0,0
2023-02-10,10.1,9.89,10.1,9.78,334563,331989773.06,3.16,-2.47,-0.25,8.64,21.014492753623244,43.18356732625354,43.18356732625354,51.682033511671506,51.682033511671506,26.186634955417617,26.186634955417617,0.012181087246474931,0.0012084838783599297,0.010972603368115001,0,0,0,0,0,0,0
2023-02-13,9.9,9.95,10.03,9.89,184483,183326053.16,1.42,0.61,0.06,4.76,20.15503875968989,35.50739113739898,35.50739113739898,46.29048605358066,46.29048605358066,13.941201305035634,13.941201305035634,0.001360035438006335,0.001238909133653877,0.000121126304352458,0,0,0,0,0,0,0
2023-02-14,9.94,9.98,10.07,9.9,179821,179692293.04,1.71,0.3,0.03,4.64,22.480620155038817,31.165134143278927,31.165134143278927,41.24870208348008,41.24870208348008,10.99799826287662,10.99799826287662,-0.004973048662025192,-7.248706452486047e-06,-0.004965799955572706,0,0,0,0,0,0,0
2023-02-15,9.92,10.0,10.09,9.85,204677,204330402.54,2.4,0.2,0.02,5.28,24.031007751938006,28.78709201283195,28.78709201283195,37.0948320599307,37.0948320599307,12.17161191863444,12.17161191863444,-0.008431661792362988,-0.0016962149935404243,-0.006735446798822564,0,0,0,0,0,0,0
2023-02-16,9.95,9.62,10.04,9.53,337428,331024469.4,5.1,-3.8,-0.38,8.71,6.206896551724124,21.26036019246267,21.26036019246267,31.81667477077469,31.81667477077469,0.1477310358386319,0.1477310358386319,-0.03820194311797742,-0.009011510457731454,-0.029190432660245968,0,0,0,0,0,0,0
2023-02-17,9.62,9.98,10.5,9.58,558991,565791908.65,9.56,3.74,0.36,14.43,45.45454545454555,29.325088613156964,29.325088613156964,30.98614605156878,30.98614605156878,26.00297373633333,26.00297373633333,-0.03503426550833133,-0.014224127602192169,-0.020810137906139163,0,0,0,0,0,0,0
2023-02-20,10.01,9.83,10.02,9.51,336614,326997701.16,5.11,-1.5,-0.15,8.69,32.32323232323234,30.324469849848754,30.324469849848754,30.765587317662103,30.765587317662103,29.442234914222055,29.442234914222055,-0.04304926358100403,-0.019996300401776818,-0.02305296317922721,0,0,0,0,0,0,0
2023-02-21,9.84,10.06,10.26,9.79,387105,390091337.22,4.78,2.34,0.23,9.99,55.555555555555614,38.73483175175104,38.73483175175104,33.42200212902508,33.42200212902508,49.360490997202945,49.360490997202945,-0.03198887533186934,-0.022397193116772858,-0.00959168221509648,0,0,0,0,0,0,0
2023-02-22,9.96,9.96,10.12,9.83,220420,218914092.97,2.88,-0.99,-0.1,5.69,45.45454545454555,40.974736319349205,40.974736319349205,35.93958019246645,35.93958019246645,51.04504857311471,51.04504857311471,-0.030337880067884626,-0.023986589756748125,-0.006351290311136501,0,0,0,0,0,0,0
2023-02-23,9.99,9.81,10.14,9.72,252363,249981822.81,4.22,-1.51,-0.15,6.51,30.303030303030372,37.41750098057626,37.41750098057626,36.43222045516972,36.43222045516972,39.38806203138934,39.38806203138934,-0.03980465355961371,-0.027152208966867142,-0.01265244459274657,0,0,0,0,0,0,0
